,id,age,gender,skinColor,accessories,nailPolish,aspectOfHand,imageName,irregularities
30,0,27,male,fair,1,0,palmar left,Hand_0000038.jpg,0
31,0,27,male,fair,1,0,palmar left,Hand_0000039.jpg,0
32,0,27,male,fair,1,0,palmar left,Hand_0000040.jpg,0
33,0,27,male,fair,1,0,palmar left,Hand_0000041.jpg,0
34,0,27,male,fair,1,0,palmar left,Hand_0000042.jpg,0
35,0,27,male,fair,1,0,palmar left,Hand_0000043.jpg,0
36,0,27,male,fair,1,0,palmar left,Hand_0000044.jpg,0
37,0,27,male,fair,1,0,palmar left,Hand_0000045.jpg,0
38,0,27,male,fair,1,0,palmar left,Hand_0000046.jpg,0
39,0,27,male,fair,1,0,palmar left,Hand_0000047.jpg,0
40,0,27,male,fair,1,0,palmar left,Hand_0000048.jpg,0
41,0,27,male,fair,1,0,palmar left,Hand_0000049.jpg,0
42,0,27,male,fair,1,0,palmar left,Hand_0000050.jpg,0
43,0,27,male,fair,1,0,palmar left,Hand_0000051.jpg,0
44,0,27,male,fair,1,0,palmar left,Hand_0000052.jpg,0
45,0,27,male,fair,1,0,palmar left,Hand_0000053.jpg,0
46,0,27,male,fair,1,0,palmar left,Hand_0000054.jpg,0
47,0,27,male,fair,0,0,palmar left,Hand_0000055.jpg,0
48,0,27,male,fair,0,0,palmar left,Hand_0000056.jpg,0
49,0,27,male,fair,0,0,palmar left,Hand_0000057.jpg,0
50,0,27,male,fair,0,0,palmar left,Hand_0000058.jpg,0
51,0,27,male,fair,0,0,palmar left,Hand_0000059.jpg,0
52,0,27,male,fair,0,0,palmar left,Hand_0000060.jpg,0
53,0,27,male,fair,0,0,palmar left,Hand_0000061.jpg,0
54,0,27,male,fair,0,0,palmar left,Hand_0000062.jpg,0
55,0,27,male,fair,0,0,palmar left,Hand_0000063.jpg,0
56,0,27,male,fair,0,0,palmar left,Hand_0000064.jpg,0
57,0,27,male,fair,0,0,palmar left,Hand_0000065.jpg,0
58,0,27,male,fair,0,0,palmar left,Hand_0000066.jpg,0
59,0,27,male,fair,0,0,palmar left,Hand_0000067.jpg,0
60,0,27,male,fair,0,0,palmar left,Hand_0000068.jpg,0
61,0,27,male,fair,0,0,palmar left,Hand_0000069.jpg,0
77,559,20,female,dark,0,0,palmar right,Hand_0000085.jpg,0
78,559,20,female,dark,0,0,palmar right,Hand_0000086.jpg,0
79,559,20,female,dark,0,0,palmar right,Hand_0000087.jpg,0
80,559,20,female,dark,0,0,palmar right,Hand_0000088.jpg,0
81,559,20,female,dark,0,0,palmar right,Hand_0000089.jpg,0
82,559,20,female,dark,0,0,palmar right,Hand_0000090.jpg,0
90,559,20,female,dark,0,0,palmar left,Hand_0000100.jpg,0
91,559,20,female,dark,0,0,palmar left,Hand_0000101.jpg,0
92,559,20,female,dark,0,0,palmar left,Hand_0000102.jpg,0
93,559,20,female,dark,0,0,palmar left,Hand_0000103.jpg,0
94,559,20,female,dark,0,0,palmar left,Hand_0000104.jpg,0
95,559,20,female,dark,0,0,palmar left,Hand_0000105.jpg,0
96,559,20,female,dark,0,0,palmar left,Hand_0000106.jpg,0
97,559,20,female,dark,0,0,palmar left,Hand_0000107.jpg,0
102,65,20,female,dark,0,0,palmar right,Hand_0000113.jpg,0
103,65,20,female,dark,0,0,palmar right,Hand_0000114.jpg,0
104,65,20,female,dark,0,0,palmar right,Hand_0000115.jpg,0
105,65,20,female,dark,0,0,palmar right,Hand_0000116.jpg,0
106,65,20,female,dark,0,0,palmar right,Hand_0000117.jpg,0
107,65,20,female,dark,0,0,palmar right,Hand_0000118.jpg,0
110,65,20,female,dark,0,0,palmar left,Hand_0000124.jpg,0
111,65,20,female,dark,0,0,palmar left,Hand_0000125.jpg,0
116,505,21,female,medium,0,0,palmar right,Hand_0000140.jpg,0
117,505,21,female,medium,0,0,palmar right,Hand_0000141.jpg,0
118,505,21,female,medium,0,0,palmar right,Hand_0000142.jpg,0
119,505,21,female,medium,0,0,palmar right,Hand_0000143.jpg,0
124,505,21,female,medium,0,0,palmar left,Hand_0000148.jpg,0
125,505,21,female,medium,0,0,palmar left,Hand_0000153.jpg,0
131,594,20,female,medium,0,0,palmar left,Hand_0000161.jpg,0
132,594,20,female,medium,0,0,palmar left,Hand_0000162.jpg,0
133,594,20,female,medium,0,0,palmar left,Hand_0000163.jpg,0
134,594,20,female,medium,0,0,palmar left,Hand_0000164.jpg,0
135,594,20,female,medium,0,0,palmar left,Hand_0000165.jpg,0
140,594,20,female,medium,0,0,palmar right,Hand_0000171.jpg,0
141,594,20,female,medium,0,0,palmar right,Hand_0000173.jpg,0
142,594,20,female,medium,0,0,palmar right,Hand_0000174.jpg,0
143,594,20,female,medium,0,0,palmar right,Hand_0000175.jpg,0
144,594,20,female,medium,0,0,palmar right,Hand_0000176.jpg,0
145,594,20,female,medium,0,0,palmar right,Hand_0000177.jpg,0
151,1585,20,female,fair,0,0,palmar right,Hand_0000184.jpg,0
152,1585,20,female,fair,0,0,palmar right,Hand_0000185.jpg,0
153,1585,20,female,fair,0,0,palmar right,Hand_0000186.jpg,0
154,1585,20,female,fair,0,0,palmar right,Hand_0000187.jpg,0
159,1585,20,female,fair,0,0,palmar left,Hand_0000199.jpg,0
160,1585,20,female,fair,0,0,palmar left,Hand_0000200.jpg,0
161,1585,20,female,fair,0,0,palmar left,Hand_0000201.jpg,0
162,1585,20,female,fair,0,0,palmar left,Hand_0000202.jpg,0
171,55,20,female,medium,1,0,palmar left,Hand_0000211.jpg,0
172,55,20,female,medium,1,0,palmar left,Hand_0000212.jpg,0
173,55,20,female,medium,1,0,palmar left,Hand_0000213.jpg,0
174,55,20,female,medium,1,0,palmar left,Hand_0000214.jpg,0
175,55,20,female,medium,1,0,palmar left,Hand_0000215.jpg,0
176,55,20,female,medium,1,0,palmar left,Hand_0000216.jpg,0
182,55,20,female,medium,0,0,palmar left,Hand_0000223.jpg,0
183,55,20,female,medium,0,0,palmar left,Hand_0000224.jpg,0
184,55,20,female,medium,0,0,palmar left,Hand_0000225.jpg,0
185,55,20,female,medium,0,0,palmar left,Hand_0000226.jpg,0
191,55,20,female,medium,0,0,palmar right,Hand_0000232.jpg,0
192,55,20,female,medium,0,0,palmar right,Hand_0000233.jpg,0
193,55,20,female,medium,0,0,palmar right,Hand_0000234.jpg,0
194,55,20,female,medium,0,0,palmar right,Hand_0000235.jpg,0
202,8,21,female,medium,0,0,palmar right,Hand_0000243.jpg,0
203,8,21,female,medium,0,0,palmar right,Hand_0000244.jpg,0
204,8,21,female,medium,0,0,palmar right,Hand_0000245.jpg,0
205,8,21,female,medium,0,0,palmar right,Hand_0000246.jpg,0
211,8,21,female,medium,0,0,palmar left,Hand_0000253.jpg,0
212,8,21,female,medium,0,0,palmar left,Hand_0000254.jpg,0
213,8,21,female,medium,0,0,palmar left,Hand_0000255.jpg,0
214,8,21,female,medium,0,0,palmar left,Hand_0000256.jpg,0
215,8,21,female,medium,0,0,palmar left,Hand_0000257.jpg,0
216,8,21,female,medium,0,0,palmar left,Hand_0000258.jpg,0
224,25,20,female,dark,1,0,palmar right,Hand_0000266.jpg,0
225,25,20,female,dark,1,0,palmar right,Hand_0000267.jpg,0
226,25,20,female,dark,1,0,palmar right,Hand_0000268.jpg,0
227,25,20,female,dark,1,0,palmar right,Hand_0000269.jpg,0
228,25,20,female,dark,1,0,palmar right,Hand_0000270.jpg,0
229,25,20,female,dark,1,0,palmar right,Hand_0000271.jpg,0
236,25,20,female,dark,0,0,palmar left,Hand_0000281.jpg,0
237,25,20,female,dark,0,0,palmar left,Hand_0000282.jpg,0
238,25,20,female,dark,0,0,palmar left,Hand_0000283.jpg,0
239,25,20,female,dark,0,0,palmar left,Hand_0000284.jpg,0
240,25,20,female,dark,0,0,palmar left,Hand_0000285.jpg,0
246,54,21,female,medium,0,0,palmar right,Hand_0000291.jpg,0
247,54,21,female,medium,0,0,palmar right,Hand_0000292.jpg,0
248,54,21,female,medium,0,0,palmar right,Hand_0000293.jpg,0
249,54,21,female,medium,0,0,palmar right,Hand_0000295.jpg,0
255,54,21,female,medium,0,0,palmar left,Hand_0000302.jpg,0
256,54,21,female,medium,0,0,palmar left,Hand_0000303.jpg,0
257,54,21,female,medium,0,0,palmar left,Hand_0000304.jpg,0
258,54,21,female,medium,0,0,palmar left,Hand_0000305.jpg,0
267,1515,21,female,fair,0,0,palmar right,Hand_0000315.jpg,0
268,1515,21,female,fair,0,0,palmar right,Hand_0000316.jpg,0
269,1515,21,female,fair,0,0,palmar right,Hand_0000317.jpg,0
270,1515,21,female,fair,0,0,palmar right,Hand_0000318.jpg,0
271,1515,21,female,fair,0,0,palmar right,Hand_0000319.jpg,0
272,1515,21,female,fair,0,0,palmar right,Hand_0000320.jpg,0
273,1515,21,female,fair,0,0,palmar right,Hand_0000321.jpg,0
281,1515,21,female,fair,0,0,palmar left,Hand_0000329.jpg,0
282,1515,21,female,fair,0,0,palmar left,Hand_0000330.jpg,0
283,1515,21,female,fair,0,0,palmar left,Hand_0000331.jpg,0
284,1515,21,female,fair,0,0,palmar left,Hand_0000332.jpg,0
285,1515,21,female,fair,0,0,palmar left,Hand_0000333.jpg,0
286,81,20,female,fair,0,0,palmar left,Hand_0000345.jpg,0
287,81,20,female,fair,0,0,palmar left,Hand_0000346.jpg,0
288,81,20,female,fair,0,0,palmar left,Hand_0000347.jpg,0
289,81,20,female,fair,0,0,palmar left,Hand_0000348.jpg,0
290,81,20,female,fair,0,0,palmar left,Hand_0000349.jpg,0
291,81,20,female,fair,0,0,palmar left,Hand_0000350.jpg,0
292,81,20,female,fair,0,0,palmar left,Hand_0000351.jpg,0
300,81,20,female,fair,0,0,palmar left,Hand_0000381.jpg,0
301,81,20,female,fair,0,0,palmar left,Hand_0000382.jpg,0
302,81,20,female,fair,0,0,palmar left,Hand_0000383.jpg,0
303,81,20,female,fair,0,0,palmar left,Hand_0000384.jpg,0
304,81,20,female,fair,0,0,palmar right,Hand_0000385.jpg,0
305,81,20,female,fair,0,0,palmar right,Hand_0000386.jpg,0
306,81,20,female,fair,0,0,palmar right,Hand_0000387.jpg,0
307,81,20,female,fair,0,0,palmar right,Hand_0000388.jpg,0
308,81,20,female,fair,0,0,palmar right,Hand_0000389.jpg,0
328,1073,20,female,medium,1,0,palmar left,Hand_0000410.jpg,0
329,1073,20,female,medium,1,0,palmar left,Hand_0000411.jpg,0
330,1073,20,female,medium,1,0,palmar left,Hand_0000412.jpg,0
331,1073,20,female,medium,1,0,palmar left,Hand_0000413.jpg,0
332,1073,20,female,medium,1,0,palmar left,Hand_0000414.jpg,0
333,1073,20,female,medium,1,0,palmar left,Hand_0000415.jpg,0
340,1073,20,female,medium,0,0,palmar left,Hand_0000422.jpg,0
341,1073,20,female,medium,0,0,palmar left,Hand_0000423.jpg,0
342,1073,20,female,medium,0,0,palmar left,Hand_0000424.jpg,0
343,1073,20,female,medium,0,0,palmar left,Hand_0000425.jpg,0
344,1073,20,female,medium,0,0,palmar left,Hand_0000426.jpg,0
352,1073,20,female,medium,0,0,palmar right,Hand_0000437.jpg,0
353,1073,20,female,medium,0,0,palmar right,Hand_0000438.jpg,0
354,1073,20,female,medium,0,0,palmar right,Hand_0000439.jpg,0
355,1073,20,female,medium,0,0,palmar right,Hand_0000440.jpg,0
356,1073,20,female,medium,0,0,palmar right,Hand_0000441.jpg,0
357,1073,20,female,medium,0,0,palmar right,Hand_0000442.jpg,0
364,19,20,female,medium,1,0,palmar right,Hand_0000449.jpg,0
365,19,20,female,medium,1,0,palmar right,Hand_0000450.jpg,0
366,19,20,female,medium,1,0,palmar right,Hand_0000451.jpg,0
367,19,20,female,medium,1,0,palmar right,Hand_0000452.jpg,0
368,19,20,female,medium,0,0,palmar right,Hand_0000454.jpg,0
369,19,20,female,medium,0,0,palmar right,Hand_0000455.jpg,0
370,19,20,female,medium,0,0,palmar right,Hand_0000456.jpg,0
371,19,20,female,medium,0,0,palmar right,Hand_0000457.jpg,0
372,19,20,female,medium,0,0,palmar right,Hand_0000458.jpg,0
